Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2
1.00,-0.71,-1.19,-0.70,-0.93,-0.63,-0.89,1.26,1,0
1.00,-0.64,-1.13,-0.51,-0.92,-0.79,-3.91,0.57,1,0
1.00,-0.74,-0.98,-0.47,-1.08,-0.54,-0.95,0.61,1,0
1.00,-0.47,-0.86,-0.65,-1.03,-0.64,-2.59,0.26,1,0
1.00,-0.57,-1.08,-0.58,-1.16,-0.62,-0.95,0.86,1,0
1.00,-0.69,-0.90,-0.42,-1.17,-0.50,-2.21,1.21,1,0
1.00,-0.57,-0.87,-0.72,-0.92,-0.56,-1.34,0.97,1,0
1.00,-0.65,-0.91,-0.55,-1.20,-0.46,-2.19,0.68,1,0
1.00,-0.49,-1.18,-0.74,-0.96,-0.45,-1.86,0.30,1,0
1.00,-0.65,-1.19,-0.48,-0.86,-0.71,-1.40,1.20,1,0
1.00,-0.43,-0.95,-0.57,-0.92,-0.46,-2.46,0.88,1,0
1.00,-0.62,-1.13,-0.62,-0.89,-0.79,-1.67,1.10,1,0
1.00,-0.62,-1.16,-0.64,-1.02,-0.74,-3.02,0.86,1,0
1.00,-0.70,-0.92,-0.58,-1.00,-0.68,-2.17,1.26,1,0
1.00,-0.53,-1.16,-0.64,-1.11,-0.54,-3.68,1.29,1,0
1.00,-0.67,-1.12,-0.53,-1.16,-0.52,-3.71,1.14,1,0
1.00,-0.53,-0.99,-0.48,-1.09,-0.57,-1.33,1.15,1,0
1.00,-0.44,-0.94,-0.69,-0.92,-0.61,-3.25,0.10,1,0
1.00,-0.70,-1.08,-0.54,-0.93,-0.76,-3.05,0.93,1,0
1.00,-0.66,-1.14,-0.46,-1.05,-0.74,-2.07,0.32,1,0
1.00,-0.61,-0.88,-0.68,-0.92,-0.48,-4.22,-0.07,1,0
1.00,-0.69,-0.98,-0.42,-1.14,-0.67,-3.62,0.76,1,0
1.00,-0.71,-1.17,-0.74,-0.87,-0.42,-2.89,0.40,1,0
1.00,-0.42,-1.05,-0.71,-1.19,-0.42,-4.25,0.21,1,0
1.00,-0.64,-0.99,-0.46,-0.98,-0.47,-3.41,1.17,1,0
1.00,-0.64,-1.04,-0.49,-1.01,-0.42,-0.85,0.24,1,0
1.00,-0.41,-0.88,-0.68,-0.97,-0.63,-1.34,0.09,1,0
1.00,-0.71,-1.05,-0.55,-0.87,-0.76,-4.09,0.97,1,0
1.00,-0.68,-0.93,-0.48,-1.14,-0.64,-1.19,0.92,1,0
1.00,-0.67,-0.99,-0.55,-1.13,-0.70,-3.68,1.23,1,0
1.00,-0.47,-1.14,-0.63,-1.15,-0.59,-2.86,1.11,1,0
1.00,-0.58,-1.10,-0.44,-1.01,-0.44,-2.49,0.77,1,0
1.00,-0.64,-1.19,-0.63,-1.08,-0.47,-3.23,1.23,1,0
1.00,-0.71,-1.03,-0.52,-1.17,-0.49,-2.76,-0.11,1,0
1.00,-0.45,-1.01,-0.70,-0.96,-0.46,-2.97,-0.07,1,0
1.00,-0.53,-0.89,-0.71,-1.04,-0.40,-1.39,0.66,1,0
1.00,-0.71,-0.95,-0.78,-0.94,-0.45,-1.67,-0.12,1,0
1.00,-0.69,-1.08,-0.48,-1.00,-0.50,-0.92,0.01,1,0
1.00,-0.68,-0.87,-0.43,-1.16,-0.54,-3.79,0.74,1,0
1.00,-0.78,-0.90,-0.69,-1.09,-0.72,-2.47,1.04,1,0
1.00,-0.69,-0.93,-0.55,-1.09,-0.48,-1.12,1.17,1,0
1.00,-0.80,-0.98,-0.71,-0.93,-0.40,-2.30,1.03,1,0
1.00,-0.53,-1.11,-0.74,-1.19,-0.52,-1.63,0.51,1,0
1.00,-0.61,-1.04,-0.55,-0.99,-0.79,-3.91,0.99,1,0
1.00,-0.78,-1.13,-0.58,-0.96,-0.65,-2.22,1.08,1,0
1.00,-0.55,-1.11,-0.76,-1.04,-0.70,-3.80,0.37,1,0
1.00,-0.41,-1.12,-0.64,-1.07,-0.53,-3.70,-0.03,1,0
1.00,-0.77,-0.91,-0.66,-0.98,-0.79,-3.77,0.66,1,0
1.00,-0.71,-1.02,-0.78,-0.97,-0.41,-3.93,0.87,1,0
1.00,-0.76,-0.91,-0.72,-0.94,-0.71,-2.26,0.56,1,0
1.00,-0.66,-0.96,-0.41,-1.01,-0.74,-0.95,0.61,1,0
1.00,-0.44,-0.96,-0.79,-0.86,-0.44,-4.49,1.09,1,0
1.00,-0.72,-0.96,-0.63,-1.11,-0.59,-3.60,1.13,1,0
1.00,-0.55,-0.93,-0.58,-1.05,-0.66,-2.58,1.09,1,0
1.00,-0.66,-1.00,-0.55,-0.99,-0.56,-2.35,0.97,1,0
1.00,-0.70,-1.15,-0.41,-1.01,-0.51,-3.64,1.00,1,0
1.00,-0.47,-1.06,-0.43,-0.97,-0.78,-1.32,0.31,1,0
1.00,-0.41,-1.09,-0.62,-1.10,-0.74,-1.84,0.01,1,0
1.00,-0.71,-1.14,-0.57,-1.07,-0.55,-1.95,0.79,1,0
1.00,-0.74,-1.12,-0.56,-0.92,-0.79,-3.24,0.23,1,0
1.00,-0.64,-1.01,-0.64,-1.12,-0.52,-3.09,0.99,1,0
1.00,-0.52,-0.94,-0.76,-1.13,-0.50,-1.93,0.19,1,0
1.00,-0.69,-0.96,-0.55,-1.06,-0.64,-2.32,1.15,1,0
1.00,-0.45,-0.98,-0.73,-1.16,-0.67,-2.48,0.37,1,0
1.00,-0.79,-1.20,-0.44,-0.87,-0.70,-4.10,0.51,1,0
1.00,-0.41,-1.17,-0.58,-0.85,-0.65,-1.74,0.33,1,0
1.00,-0.57,-0.94,-0.45,-0.88,-0.43,-2.20,-0.02,1,0
1.00,-0.51,-1.20,-0.57,-1.14,-0.58,-2.78,-0.06,1,0
1.00,-0.76,-0.86,-0.55,-1.15,-0.59,-2.22,0.25,1,0
1.00,-0.78,-1.15,-0.52,-0.96,-0.53,-2.97,1.10,1,0
1.00,-0.42,-0.93,-0.47,-1.01,-0.51,-0.86,0.92,1,0
1.00,-0.51,-0.89,-0.64,-0.85,-0.68,-2.90,0.85,1,0
1.00,-0.54,-0.95,-0.58,-0.88,-0.72,-1.10,0.89,1,0
1.00,-0.61,-0.92,-0.77,-1.06,-0.78,-0.80,0.78,1,0
1.00,-0.74,-1.14,-0.44,-1.11,-0.51,-3.63,-0.07,1,0
1.00,-0.74,-0.95,-0.61,-1.17,-0.61,-1.24,1.01,1,0
1.00,-0.73,-0.87,-0.62,-1.04,-0.44,-4.41,1.11,1,0
1.00,-0.47,-1.03,-0.48,-1.12,-0.69,-3.98,0.11,1,0
1.00,-0.41,-1.15,-0.50,-0.91,-0.56,-2.39,0.76,1,0
1.00,-0.52,-1.02,-0.68,-0.96,-0.57,-3.19,0.45,1,0
1.00,-0.48,-1.13,-0.52,-1.14,-0.40,-1.15,0.12,1,0
1.00,-0.48,-1.03,-0.54,-0.96,-0.51,-1.26,1.14,1,0
1.00,-0.78,-0.91,-0.77,-0.97,-0.45,-2.69,0.09,1,0
1.00,-0.78,-1.05,-0.65,-1.11,-0.71,-1.61,1.00,1,0
1.00,-0.57,-1.18,-0.79,-0.97,-0.79,-2.04,0.45,1,0
1.00,-0.58,-1.05,-0.67,-1.00,-0.62,-3.04,0.64,1,0
1.00,-0.71,-0.89,-0.72,-0.99,-0.53,-2.88,0.95,1,0
1.00,-0.57,-0.98,-0.80,-1.19,-0.79,-2.98,1.24,1,0
1.00,-0.74,-1.10,-0.67,-1.12,-0.61,-3.79,0.97,1,0
1.00,-0.59,-1.18,-0.41,-0.86,-0.54,-1.60,0.86,1,0
1.00,-0.75,-0.92,-0.50,-0.86,-0.80,-2.71,0.84,1,0
1.00,-0.75,-0.88,-0.60,-1.05,-0.69,-3.36,0.00,1,0
1.00,-0.61,-0.91,-0.60,-1.00,-0.56,-3.38,1.03,1,0
1.00,-0.73,-1.09,-0.56,-1.01,-0.56,-3.45,0.51,1,0
1.00,-0.49,-1.00,-0.70,-1.07,-0.65,-3.57,0.23,1,0
1.00,-0.79,-1.18,-0.52,-0.92,-0.63,-1.61,0.48,1,0
1.00,-0.47,-0.86,-0.70,-1.09,-0.62,-4.09,0.91,1,0
1.00,-0.67,-0.94,-0.40,-1.08,-0.79,-3.30,0.88,1,0
1.00,-0.62,-0.93,-0.77,-0.85,-0.68,-1.60,-0.04,1,0
1.00,-0.42,-0.97,-0.50,-0.88,-0.67,-4.22,0.64,1,0
1.00,-0.62,-1.13,-0.80,-0.91,-0.75,-0.83,0.71,1,0
1.00,-0.75,-1.00,-0.65,-1.03,-0.79,-3.13,0.06,1,0
1.00,-0.67,-1.16,-0.78,-1.03,-0.64,-3.47,0.09,1,0
1.00,-0.54,-0.91,-0.56,-1.06,-0.51,-1.70,0.54,1,0
1.00,-0.63,-0.92,-0.57,-1.02,-0.69,-3.06,0.13,1,0
1.00,-0.76,-0.95,-0.43,-1.02,-0.77,-1.23,1.09,1,0
1.00,-0.52,-0.97,-0.68,-1.16,-0.50,-3.96,0.89,1,0
1.00,-0.44,-0.94,-0.65,-0.95,-0.59,-1.92,0.64,1,0
1.00,-0.50,-0.96,-0.51,-0.85,-0.45,-3.04,0.00,1,0
1.00,-0.49,-0.99,-0.74,-1.12,-0.61,-4.14,1.06,1,0
1.00,-0.57,-1.09,-0.76,-1.15,-0.44,-4.11,0.34,1,0
1.00,-0.47,-0.90,-0.62,-1.08,-0.56,-3.58,1.11,1,0
1.00,-0.60,-1.06,-0.53,-0.95,-0.66,-1.19,0.79,1,0
1.00,-0.69,-1.11,-0.64,-0.91,-0.73,-4.34,1.28,1,0
1.00,-0.55,-0.93,-0.66,-0.91,-0.68,-1.69,0.95,1,0
1.00,-0.51,-1.08,-0.55,-0.88,-0.48,-3.50,1.02,1,0
1.00,-0.59,-0.91,-0.50,-0.96,-0.55,-0.86,0.75,1,0
1.00,-0.72,-1.07,-0.63,-1.17,-0.46,-3.23,0.10,1,0
1.00,-0.71,-1.00,-0.70,-1.20,-0.73,-3.68,0.48,1,0
1.00,-0.61,-0.91,-0.56,-1.05,-0.77,-1.48,-0.10,1,0
1.00,-0.70,-1.00,-0.68,-1.06,-0.45,-4.06,0.82,1,0
1.00,-0.63,-0.87,-0.71,-0.93,-0.79,-2.75,0.72,1,0
1.00,-0.55,-1.16,-0.71,-0.91,-0.76,-3.37,0.67,1,0
1.00,-0.72,-1.20,-0.55,-1.04,-0.53,-4.31,1.20,1,0
1.00,-0.52,-0.86,-0.58,-1.16,-0.77,-2.72,0.64,1,0
1.00,-0.44,-1.04,-0.59,-0.99,-0.44,-1.19,0.85,1,0
1.00,-0.58,-1.20,-0.75,-1.02,-0.53,-1.03,0.45,1,0
1.00,-0.43,-1.02,-0.80,-1.02,-0.55,-2.31,0.88,1,0
1.00,-0.58,-1.16,-0.48,-0.95,-0.52,-0.90,0.36,1,0
1.00,-0.51,-1.18,-0.43,-0.96,-0.54,-3.64,0.55,1,0
1.00,-0.65,-1.17,-0.56,-0.88,-0.59,-3.02,0.16,1,0
1.00,-0.65,-1.06,-0.52,-1.15,-0.46,-1.59,0.73,1,0
1.00,-0.47,-1.16,-0.70,-0.99,-0.49,-3.90,0.64,1,0
1.00,-0.51,-1.18,-0.63,-0.92,-0.62,-1.37,0.23,1,0
1.00,-0.57,-0.87,-0.76,-0.86,-0.57,-3.35,0.18,1,0
1.00,-0.47,-1.02,-0.54,-0.94,-0.52,-1.90,0.58,1,0
1.00,-0.61,-0.94,-0.41,-0.93,-0.65,-2.25,0.25,1,0
1.00,-0.49,-1.16,-0.79,-0.94,-0.67,-2.30,0.66,1,0
1.00,-0.76,-0.93,-0.59,-0.88,-0.60,-3.70,1.17,1,0
1.00,-0.44,-1.18,-0.56,-1.13,-0.68,-2.94,1.21,1,0
1.00,-0.41,-0.94,-0.78,-0.95,-0.76,-0.99,0.31,1,0
1.00,-0.44,-0.99,-0.75,-1.16,-0.78,-3.68,1.08,1,0
1.00,-0.53,-1.07,-0.59,-1.17,-0.70,-4.49,0.90,1,0
1.00,-0.51,-0.87,-0.63,-0.95,-0.40,-4.39,-0.09,1,0
1.00,-0.48,-1.11,-0.63,-1.20,-0.71,-3.50,1.18,1,0
1.00,-0.55,-1.13,-0.54,-1.18,-0.45,-1.30,0.18,1,0
1.00,-0.61,-0.98,-0.65,-1.13,-0.59,-2.99,0.34,1,0
1.00,-0.47,-1.14,-0.64,-1.00,-0.44,-3.84,-0.15,1,0
1.00,-0.50,-0.98,-0.66,-0.94,-0.75,-3.22,0.22,1,0
1.00,-0.71,-0.88,-0.43,-1.14,-0.69,-3.07,0.05,1,0
1.00,-0.46,-0.91,-0.56,-1.07,-0.50,-3.34,1.01,1,0
1.00,-0.70,-1.19,-0.64,-1.11,-0.79,-3.11,1.25,1,0
1.00,-0.62,-1.12,-0.71,-1.20,-0.46,-2.84,1.08,1,0
1.00,-0.57,-1.04,-0.44,-0.91,-0.79,-1.51,1.14,1,0
1.00,-0.50,-0.94,-0.77,-0.98,-0.54,-2.32,0.34,1,0
1.00,-0.57,-0.95,-0.49,-1.15,-0.41,-3.80,0.98,1,0
1.00,-0.46,-1.13,-0.56,-1.10,-0.52,-2.00,0.20,1,0
1.00,-0.58,-0.96,-0.45,-0.98,-0.66,-0.91,0.90,1,0
1.00,-0.47,-1.19,-0.79,-1.02,-0.65,-1.65,0.55,1,0
1.00,-0.54,-1.02,-0.44,-1.02,-0.79,-2.79,1.21,1,0
1.00,-0.66,-0.96,-0.55,-1.15,-0.71,-1.45,0.06,1,0
1.00,-0.59,-0.88,-0.78,-1.11,-0.47,-2.30,0.81,1,0
1.00,-0.62,-0.93,-0.58,-1.18,-0.54,-0.92,0.46,1,0
1.00,-0.41,-1.14,-0.60,-1.05,-0.52,-3.75,1.30,1,0
1.00,-0.57,-1.19,-0.43,-0.91,-0.55,-3.84,0.44,1,0
1.00,-0.65,-1.14,-0.60,-0.87,-0.65,-3.03,-0.11,1,0
1.00,-0.64,-0.90,-0.57,-0.93,-0.52,-4.47,0.33,1,0
1.00,-0.76,-0.90,-0.43,-1.01,-0.44,-3.54,0.53,1,0
1.00,-0.45,-1.07,-0.74,-0.88,-0.46,-1.68,1.08,1,0
1.00,-0.77,-1.00,-0.46,-0.95,-0.44,-2.74,0.24,1,0
1.00,-0.61,-0.93,-0.41,-1.05,-0.52,-0.97,1.21,1,0
1.00,-0.48,-0.90,-0.55,-1.10,-0.43,-4.33,0.62,1,0
1.00,-0.56,-1.20,-0.44,-1.09,-0.61,-1.14,0.60,1,0
1.00,-0.80,-1.10,-0.68,-1.12,-0.65,-3.49,0.05,1,0
1.00,-0.43,-1.17,-0.77,-1.13,-0.66,-1.31,0.40,1,0
1.00,-0.70,-1.01,-0.42,-0.96,-0.70,-2.36,0.12,1,0
1.00,-0.71,-1.20,-0.43,-0.88,-0.44,-3.11,0.39,1,0
1.00,-0.75,-1.06,-0.43,-1.20,-0.55,-2.58,0.81,1,0
1.00,-0.49,-1.12,-0.44,-0.96,-0.69,-1.57,-0.13,1,0
1.00,-0.72,-0.99,-0.59,-0.94,-0.60,-1.40,0.46,1,0
1.00,-0.54,-0.86,-0.76,-1.01,-0.57,-2.62,0.19,1,0
1.00,-0.57,-1.16,-0.70,-1.18,-0.54,-3.85,-0.03,1,0
1.00,-0.76,-1.14,-0.67,-0.93,-0.79,-1.25,0.80,1,0
1.00,-0.44,-1.11,-0.41,-1.07,-0.75,-0.92,1.07,1,0
1.00,-0.53,-1.09,-0.68,-0.99,-0.45,-3.11,0.15,1,0
1.00,-0.41,-0.93,-0.58,-1.11,-0.78,-3.94,-0.13,1,0
1.00,-0.46,-0.87,-0.54,-1.10,-0.51,-2.51,0.57,1,0
1.00,-0.60,-1.15,-0.49,-1.16,-0.43,-3.85,0.78,1,0
1.00,-0.46,-1.02,-0.68,-1.15,-0.79,-3.52,0.80,1,0
1.00,-0.78,-1.19,-0.58,-1.02,-0.75,-2.13,0.53,1,0
1.00,-0.45,-0.95,-0.78,-0.86,-0.71,-2.08,0.86,1,0
1.00,-0.62,-1.03,-0.74,-1.10,-0.66,-3.44,0.26,1,0
